time,mean_spectrum,var_spectrum,enp_spectrum,mean_IQ,var_IQ,KL_spectrum,RMSE_spectrum,CS_spectrum,exceeding_count,time_seq,lable
2251150,22.85241359,35985.26101,23.50219091,0.01673335,4.60E-05,0.323508735,0.365578162,0.771044409,1.748513393,1.493055556,0
2251159,22.89476954,36141.14106,23.50522351,0.016780176,4.58E-05,0.316107367,0.042355944,0.781460435,1.751691071,1.493055556,0
2251210,22.35518276,39137.99728,23.48287538,0.017433922,5.00E-05,0.324672238,0.539586775,0.775757466,1.682266071,1.506944444,0
2251220,22.11302205,36764.3647,23.49998033,0.016906678,4.68E-05,0.319238224,0.242160708,0.782046194,1.585405357,1.513888889,0
2251229,22.56642499,36829.47741,23.577781,0.016993313,4.46E-05,0.326427172,0.453402939,0.778778284,1.749248214,1.513888889,0
2251240,21.98614756,38202.12562,23.52043069,0.017356958,4.41E-05,0.316881541,0.58027743,0.781400496,1.697738393,1.527777778,0
2251250,21.96431198,33319.13339,23.59544784,0.016153443,4.09E-05,0.319284595,0.021835579,0.77604378,1.801905357,1.534722222,0
2251300,21.01146862,31913.26844,23.64122121,0.01586282,3.73E-05,0.320040859,0.952843367,0.773407881,1.727967857,1.541666667,0
2251309,21.21962616,29145.08872,23.67526001,0.015129472,3.53E-05,0.325241637,0.208157542,0.768902181,1.7521,1.541666667,0
2251320,20.35373637,28813.92851,23.64808437,0.01506189,3.41E-05,0.330148222,0.865889792,0.781475781,1.541523214,1.555555556,0
2251330,20.21824731,33468.47517,23.58964878,0.016030693,4.55E-05,0.357097509,0.135489053,0.751420042,1.432766964,1.5625,0
2251339,21.13801629,31055.35447,23.6098644,0.015607938,3.77E-05,0.366180681,0.919768973,0.761170315,1.6136125,1.5625,0
2251350,20.68693085,27819.15711,23.66170263,0.014729895,3.52E-05,0.319158971,0.451085438,0.780814425,1.606526786,1.576388889,0
2251400,20.53291751,26106.50514,23.69911023,0.014318026,3.19E-05,0.316510382,0.154013343,0.783414965,1.663930357,1.583333333,0
2251410,19.36929661,29075.25761,23.63366342,0.015116403,3.44E-05,0.368474583,1.163620893,0.760720984,1.379292857,1.590277778,0
2251420,19.80968257,27166.64066,23.65118867,0.014619297,3.23E-05,0.324802527,0.440385958,0.771296291,1.459653571,1.597222222,0
2251430,18.90945913,27805.43275,23.75650159,0.014841318,3.12E-05,0.33078143,0.900223443,0.7614654,1.4041125,1.604166667,0
2251440,19.17532315,28560.25316,23.70437098,0.014909905,3.60E-05,0.334097147,0.265864019,0.760818086,1.315716964,1.611111111,0
2261200,22.18332538,31939.45666,23.67899471,0.015755506,4.13E-05,0.50785077,3.008002234,0.752417036,1.786183036,2.5,0
2261210,20.21907173,34511.39888,23.70436579,0.016506751,3.93E-05,0.354848863,1.964253654,0.715557826,1.721575893,2.506944444,0
2261220,21.07688656,28772.41378,23.65767561,0.014959063,3.71E-05,0.356691111,0.85781483,0.723550427,1.7894875,2.513888889,0
2261230,20.15505849,31479.40505,23.66491642,0.015526376,4.36E-05,0.35687644,0.921828065,0.754446824,1.664816071,2.520833333,0
2261240,20.33482632,26977.83487,23.68356772,0.014442299,3.60E-05,0.344076429,0.179767824,0.76097489,1.758173214,2.527777778,0
2261250,20.47247938,30065.88057,23.62898502,0.015328328,3.72E-05,0.32168154,0.137653062,0.77163869,1.726996429,2.534722222,0
2261300,20.3836512,26994.7286,23.69503782,0.014530112,3.36E-05,0.323808033,0.088828175,0.774927419,1.765341964,2.541666667,0
2261310,19.65771244,28267.72698,23.73190961,0.014874156,3.46E-05,0.334523189,0.725938765,0.765562514,1.736322321,2.548611111,0
2261320,19.514059,27707.70974,23.76431771,0.014825374,3.10E-05,0.320602249,0.143653439,0.780213249,1.758447321,2.555555556,0
2261330,19.68080181,26547.91617,23.75322334,0.014359769,3.43E-05,0.322675736,0.166742811,0.778518798,1.737952679,2.5625,0
2261340,19.93237864,26633.63667,23.72210418,0.01445251,3.25E-05,0.317576604,0.251576829,0.781168733,1.724707143,2.569444444,0
2261350,20.23877935,26580.94901,23.70866338,0.014368632,3.45E-05,0.315634231,0.30640071,0.780781812,1.769159821,2.576388889,0
2261400,20.18914815,27972.88506,23.69808054,0.014743489,3.60E-05,0.312856614,0.049631201,0.783446686,1.766822321,2.583333333,0
2261410,19.86828997,26666.19404,23.71014946,0.014400085,3.43E-05,0.320316112,0.320858178,0.781943486,1.623904464,2.590277778,0
2261420,19.72906727,26605.3475,23.78001323,0.014383837,3.41E-05,0.323679099,0.139222695,0.777530481,1.685311607,2.597222222,0
2261430,19.87099607,28443.9661,23.72343251,0.014991133,3.28E-05,0.318903907,0.141928796,0.776814413,1.651734821,2.604166667,0
2261440,19.61743145,30529.08397,23.75854978,0.015497975,3.58E-05,0.327605584,0.253564622,0.76971069,1.666173214,2.611111111,0
2261450,20.27449827,27508.96581,23.73848081,0.014691126,3.35E-05,0.334652254,0.657066818,0.764551879,1.719895536,2.618055556,0
2261500,20.34582212,25971.02683,23.7605507,0.014284469,3.15E-05,0.317131925,0.07132385,0.777267702,1.787058929,2.625,0
2261510,20.27329546,27666.67667,23.72093688,0.014731783,3.37E-05,0.322369112,0.072526657,0.776890115,1.68434375,2.631944444,0
2261520,20.13731064,26461.16501,23.76422889,0.014345502,3.41E-05,0.325761046,0.135984824,0.770733982,1.729567857,2.638888889,0
2261530,19.64174209,30029.24809,23.80750175,0.01543073,3.35E-05,0.355617595,0.495568545,0.698338711,1.705573214,2.645833333,0
2261540,20.18868792,29743.462,23.6943827,0.015240538,3.69E-05,0.342952429,0.546945825,0.713190347,1.656930357,2.652777778,0
2261550,19.8040924,30054.43727,23.71767419,0.015221737,4.01E-05,0.320756807,0.384595514,0.778163774,1.652195536,2.659722222,0
2261600,20.36186972,29264.45572,23.73763212,0.01512743,3.62E-05,0.338712927,0.557777321,0.769814718,1.784678571,2.666666667,0
2261610,20.06143712,27339.92728,23.73935004,0.014566584,3.55E-05,0.327593845,0.300432605,0.766875062,1.665122321,2.673611111,0
2261620,20.43590795,28508.3564,23.71560231,0.014968686,3.42E-05,0.322666706,0.374470831,0.766713127,1.742071429,2.680555556,0
2261630,20.34663594,27310.30654,23.72973805,0.014672153,3.23E-05,0.317548152,0.08927201,0.779777765,1.705929464,2.6875,0
2261640,20.00229922,28846.40553,23.70950352,0.014997614,3.62E-05,0.326982401,0.344336719,0.778588853,1.638922321,2.694444444,0
2261650,20.43412268,27060.15665,23.72708269,0.014562906,3.33E-05,0.321560444,0.431823465,0.777218386,1.751559821,2.701388889,0
2261700,20.6710549,30390.43071,23.70021868,0.015547212,3.34E-05,0.318171659,0.236932218,0.773410126,1.755125893,2.708333333,0
2261710,20.00605006,28564.44451,23.73611342,0.014951526,3.51E-05,0.327196471,0.665004839,0.768834817,1.670452679,2.715277778,0
2261720,20.3413685,27037.03667,23.74091191,0.014544909,3.35E-05,0.316838455,0.335318436,0.778062531,1.721195536,2.722222222,0
2261730,20.72748698,28585.0886,23.78004538,0.01497942,3.47E-05,0.316245298,0.386118478,0.779280768,1.691058929,2.729166667,0
2261740,22.41350417,27750.04396,24.00909339,0.014679148,3.68E-05,0.32528953,1.686017188,0.774949476,1.664873214,2.736111111,0
2261750,22.90638747,29989.80968,23.95712273,0.015281781,3.89E-05,0.317919144,0.492883305,0.770156208,1.673934821,2.743055556,0
2261800,22.08125808,25421.87479,24.05078061,0.013970752,3.62E-05,0.324534121,0.825129385,0.766900867,1.714308036,2.75,0
2261810,22.59063195,29857.9002,23.97130987,0.015233835,3.91E-05,0.32628493,0.509373868,0.773510114,1.629461607,2.756944444,0
2261820,22.1401839,26128.81901,24.06682382,0.014262126,3.43E-05,0.315918062,0.450448053,0.780227492,1.645423214,2.763888889,0
2261830,22.13162466,26381.48533,24.13498449,0.014294478,3.56E-05,0.317280482,0.008559238,0.773723786,1.608901786,2.770833333,0
2261840,22.58997241,26414.0757,24.10084518,0.01429869,3.59E-05,0.317635707,0.45834775,0.771849558,1.687369643,2.777777778,0
2261850,22.83226823,27196.98319,24.08389303,0.014580851,3.49E-05,0.314908859,0.242295817,0.779776863,1.608873214,2.784722222,0
2261900,23.19402528,28394.49755,24.06820136,0.014782135,3.98E-05,0.327016591,0.361757054,0.751830628,1.781172321,2.791666667,0
2261910,23.19062017,26103.16818,24.09488537,0.014258425,3.46E-05,0.317835837,0.003405118,0.753578452,1.778808036,2.798611111,0
2261920,22.93798155,25175.72788,24.10971345,0.014043339,3.23E-05,0.316861949,0.252638618,0.779151755,1.796079464,2.805555556,0
2261930,23.24114035,26518.20051,24.10198183,0.014396321,3.43E-05,0.314366621,0.303158805,0.782747357,1.731755357,2.8125,0
2261940,23.08865166,27135.55339,24.09717805,0.014581794,3.44E-05,0.315338085,0.15248869,0.779664784,1.675053571,2.819444444,0
2261950,22.23968229,29476.56931,24.12993632,0.015253565,3.49E-05,0.329439688,0.848969373,0.758377149,1.598435714,2.826388889,0
2262000,22.88313472,25360.32006,24.11636083,0.014064174,3.33E-05,0.344669683,0.643452435,0.743661723,1.673327679,2.833333333,0
2262010,22.66658274,29559.39943,24.18016912,0.015274738,3.52E-05,0.339240729,0.216551981,0.749779095,1.629344643,2.840277778,0
2262020,23.00148199,27430.69509,24.17051087,0.014688047,3.39E-05,0.323481701,0.334899243,0.774210864,1.702201786,2.847222222,0
2262030,22.96609991,24181.01504,24.2017164,0.013731134,3.21E-05,0.316452702,0.035382071,0.775820067,1.687839286,2.854166667,0
2262040,23.54715033,27151.23222,24.12743203,0.014544099,3.58E-05,0.312091555,0.581050412,0.783058774,1.697874107,2.861111111,0
2262050,23.54715033,27151.23222,24.12743203,0.014544099,3.58E-05,-2.49E-08,0,1,1.697874107,2.868055556,0
2262100,22.98791142,23862.37583,24.23377315,0.01359317,3.30E-05,0.313312327,0.559238906,0.782905844,1.684478571,2.875,0
2262110,22.42631835,23787.95946,24.22840615,0.013585891,3.23E-05,0.319334129,0.561593072,0.767668234,1.625803571,2.881944444,0
2262120,22.50823751,22256.96978,24.20308956,0.013092733,3.18E-05,0.319946245,0.081919157,0.760119546,1.677755357,2.888888889,0
2262130,22.43967447,21675.61194,24.24000037,0.012901014,3.16E-05,0.315106815,0.068563031,0.778489419,1.721451786,2.895833333,0
2262140,22.29993921,26705.0551,24.1904101,0.014211118,4.09E-05,0.3647193,0.13973526,0.727346444,1.664501786,2.902777778,0
2262150,22.05147863,21670.96193,24.22327687,0.012932697,3.06E-05,0.33722219,0.248460583,0.730482164,1.641235714,2.909722222,0
2262200,21.79491516,23027.57167,24.22925977,0.01337573,3.09E-05,0.32037702,0.256563467,0.76974442,1.671135714,2.916666667,0
